model,mean_f1,std_f1
LogisticRegression,0.8831269400463233,0.0011081042505049442
DecisionTree,0.8146358411741229,0.0013363129741467508
RandomForest,0.8924064721640027,0.0014089594467463337
GradientBoosting,0.8968112819227887,0.0012683818645955929
