,count,mean,std,min,25%,50%,75%,max,CV (%)
geolocation_zip_code_prefix,250000.0,5542.118408,2526.39575542107,1001.0,3626.0,5346.0,7220.0,11095.0,45.59
geolocation_lat,250000.0,-23.576600904444796,0.0996564812206404,-24.00604853219695,-23.63188687822437,-23.563097630703673,-23.515917338882804,-20.54309219411667,-0.42
geolocation_lng,250000.0,-46.6216941171086,0.14784482874267021,-48.889160845885776,-46.71502897509232,-46.639216010416,-46.537855177525216,-45.826581499999975,-0.32
