,count,mean,std,min,25%,50%,75%,max,CV (%)
order_item_id,112650.0,1.1978339991122948,0.7051240313951733,1.0,1.0,1.0,1.0,21.0,58.87
price,112650.0,120.65373901464716,183.63392805025939,0.85,39.9,74.99,134.9,6735.0,152.2
freight_value,112650.0,19.990319928983578,15.806405412297083,0.0,13.08,16.26,21.15,409.68,79.07
