,count,mean,std,min,25%,50%,75%,max,CV (%)
product_name_lenght,32341.0,48.47694876472589,10.245740725237239,5.0,42.0,51.0,57.0,76.0,21.14
product_description_lenght,32341.0,771.4952846232337,635.1152246349538,4.0,339.0,595.0,972.0,3992.0,82.32
product_photos_qty,32341.0,2.1889861166939797,1.7367656379315444,1.0,1.0,1.0,3.0,20.0,79.34
product_weight_g,32949.0,2276.4724877841513,4282.038730977007,0.0,300.0,700.0,1900.0,40425.0,188.1
product_length_cm,32949.0,30.81507784758263,16.914458054065967,7.0,18.0,25.0,38.0,105.0,54.89
product_height_cm,32949.0,16.937661234028347,13.637554061749494,2.0,8.0,13.0,21.0,105.0,80.52
product_width_cm,32949.0,23.196728277034204,12.079047453227835,6.0,15.0,20.0,30.0,118.0,52.07
